stop_id,stop_code,stop_name,lat,lon,branches
1,ABT,Albertson,40.77206317,-73.64169095,Oyster Bay Branch
100,ISP,Islip,40.73583449,-73.20932145,Montauk Branch
101,IWD,Inwood,40.61228773,-73.74418354,Far Rockaway Branch
102,JAM,Jamaica,40.69960817,-73.80852987,Babylon Branch|City Terminal Zone|Far Rockaway Branch|Hempstead Branch|Long Beach Branch|Montauk Branch|Oyster Bay Branch|Port Jefferson Branch|Ronkonkoma Branch|West Hempstead Branch
107,KGN,Kew Gardens,40.70964917,-73.83088807,Babylon Branch|City Terminal Zone|Far Rockaway Branch|Hempstead Branch|Long Beach Branch|Port Jefferson Branch|Ronkonkoma Branch|West Hempstead Branch
11,BDY,Broadway,40.76165318,-73.80176612,Port Washington Branch
111,KPK,Kings Park,40.88366659,-73.25624757,Port Jefferson Branch
113,LBH,Long Beach,40.5901817,-73.66481822,Long Beach Branch
114,LCE,Lawrence,40.6157347,-73.73589955,Far Rockaway Branch
117,LHT,Lindenhurst,40.68826504,-73.36921149,Babylon Branch
118,LIC,Long Island City,40.74134343,-73.95763922,Montauk Branch|Oyster Bay Branch|Port Jefferson Branch
119,LMR,Locust Manor,40.67513907,-73.76504303,Far Rockaway Branch|Long Beach Branch
120,LNK,Little Neck,40.77504393,-73.74064662,Port Washington Branch
122,LTN,Laurelton,40.66848304,-73.75174687,Babylon Branch|Far Rockaway Branch|Long Beach Branch
123,LVL,Locust Valley,40.87446697,-73.59830284,Oyster Bay Branch
124,LVW,Lakeview,40.68585582,-73.65213777,West Hempstead Branch
125,LYN,Lynbrook,40.65605814,-73.67607083,Babylon Branch|Long Beach Branch
126,MAK,Mattituck,40.99179354,-72.53606243,Greenport Service
127,MAV,Merillon Avenue,40.73516903,-73.66252148,Port Jefferson Branch|Ronkonkoma Branch
129,MFD,Medford,40.81739665,-72.99890946,Greenport Service
13,BHN,Bridgehampton,40.93898378,-72.31004593,Montauk Branch
130,MHL,Murray Hill,40.76270926,-73.81453928,Port Washington Branch
131,MHT,Manhasset,40.7967241,-73.69989909,Port Washington Branch
132,MIN,Mineola,40.74034743,-73.64086293,Montauk Branch|Oyster Bay Branch|Port Jefferson Branch|Ronkonkoma Branch
135,MPK,Massapequa Park,40.6778591,-73.45473724,Babylon Branch
136,MQA,Massapequa,40.67693014,-73.46905552,Babylon Branch
14,BK,Stony Brook,40.92032252,-73.12854943,Port Jefferson Branch
140,MSY,Mastic-Shirley,40.79898815,-72.86442272,Montauk Branch
141,MTK,Montauk,41.04710896,-71.95388103,Montauk Branch
142,MVN,Malverne,40.67547844,-73.66886364,West Hempstead Branch
148,NAV,Nostrand Avenue,40.67838785,-73.94822108,Babylon Branch|City Terminal Zone|Far Rockaway Branch|Hempstead Branch|Long Beach Branch|Port Jefferson Branch|West Hempstead Branch
149,NBD,Nassau Boulevard,40.72296245,-73.66269823,Hempstead Branch
152,NHP,New Hyde Park,40.73075708,-73.68095886,Port Jefferson Branch|Ronkonkoma Branch
153,NPT,Northport,40.88064972,-73.32848513,Port Jefferson Branch
154,OBY,Oyster Bay,40.87533774,-73.53403366,Oyster Bay Branch
155,ODE,Oceanside,40.63472102,-73.65466582,Long Beach Branch
157,ODL,Oakdale,40.74343275,-73.13243549,Montauk Branch
16,BMR,Bellmore,40.66880043,-73.52886016,Babylon Branch
162,PDM,Plandome,40.81069853,-73.69521438,Port Washington Branch
163,PGE,Patchogue,40.76187901,-73.01574451,Montauk Branch
164,PJN,Port Jefferson,40.9345531,-73.05250164,Port Jefferson Branch
165,PLN,Pinelawn,40.74535851,-73.39960092,Ronkonkoma Branch
171,PWS,Port Washington,40.82903533,-73.687401,Port Washington Branch
175,QVG,Queens Village,40.71745785,-73.73645989,Hempstead Branch|Port Jefferson Branch|Ronkonkoma Branch
176,RHD,Riverhead,40.91983928,-72.66691054,Greenport Service
179,RON,Ronkonkoma,40.80808613,-73.10594023,Greenport Service|Ronkonkoma Branch
180,ROS,Rosedale,40.66594933,-73.73554816,Far Rockaway Branch|Long Beach Branch
182,RSN,Roslyn,40.7904781,-73.64326175,Oyster Bay Branch
183,RVC,Rockville Centre,40.65831811,-73.64654935,Babylon Branch
184,SAB,St. Albans,40.69118348,-73.76550937,Babylon Branch|West Hempstead Branch
185,SCF,Sea Cliff,40.85236805,-73.62541695,Oyster Bay Branch
187,SFD,Seaford,40.67572393,-73.48656847,Babylon Branch
190,SHD,Southold,41.06632089,-72.4278803,Greenport Service
191,SHN,Southampton,40.89471874,-72.39012376,Montauk Branch
193,SJM,St. James,40.88216931,-73.15950725,Port Jefferson Branch
195,SMR,Stewart Manor,40.72302771,-73.68102041,Hempstead Branch
198,SPK,Speonk,40.82131516,-72.70526225,Montauk Branch
199,SSM,Mets-Willets Point,40.75239835,-73.84370059,Port Washington Branch
2,ADL,Auburndale,40.76144288,-73.78995927,Port Washington Branch
20,BPG,Bethpage,40.74303924,-73.48343821,Ronkonkoma Branch
202,STN,Smithtown,40.85654755,-73.19803235,Port Jefferson Branch
204,SVL,Sayville,40.74035373,-73.08645531,Montauk Branch
205,SYT,Syosset,40.82485746,-73.5004456,Port Jefferson Branch
21,BPT,Bellport,40.7737389,-72.94396574,Montauk Branch
211,VSM,Valley Stream,40.66151762,-73.70475875,Babylon Branch|Far Rockaway Branch|Long Beach Branch
213,WBY,Westbury,40.75345386,-73.5858661,Port Jefferson Branch|Ronkonkoma Branch
214,WDD,Woodside,40.74585067,-73.90297516,Babylon Branch|City Terminal Zone|Far Rockaway Branch|Hempstead Branch|Long Beach Branch|Port Jefferson Branch|Port Washington Branch|Ronkonkoma Branch|West Hempstead Branch
215,WGH,Wantagh,40.67299016,-73.50896484,Babylon Branch
216,WHD,West Hempstead,40.70196099,-73.64164361,West Hempstead Branch
217,WMR,Woodmere,40.63133646,-73.71371544,Far Rockaway Branch
219,WWD,Westwood,40.66837227,-73.68120878,West Hempstead Branch
220,WYD,Wyandanch,40.75480101,-73.35806588,Ronkonkoma Branch
223,YPK,Yaphank-BNL,40.849270453967,-72.864465900794,Greenport Service
225,BWN,Baldwin,40.65673224,-73.60716245,Babylon Branch
226,MRK,Merrick,40.6638004,-73.55062102,Babylon Branch
23,BRS,Bellerose,40.72220443,-73.71665289,Hempstead Branch
233,WHN,Westhampton,40.83030532,-72.65032454,Montauk Branch
237,NYK,Penn Station,40.75058844,-73.99358408,Babylon Branch|City Terminal Zone|Far Rockaway Branch|Hempstead Branch|Long Beach Branch|Montauk Branch|Oyster Bay Branch|Port Jefferson Branch|Port Washington Branch|Ronkonkoma Branch|West Hempstead Branch
24,BRT,Belmont Park,40.71368754,-73.72829722,
241,ATL,Atlantic Terminal,40.68359596,-73.97567112,Babylon Branch|City Terminal Zone|Far Rockaway Branch|Hempstead Branch|Long Beach Branch|Port Jefferson Branch|Ronkonkoma Branch|West Hempstead Branch
25,BSD,Bayside,40.76315241,-73.77124986,Port Washington Branch
26,BSR,Bay Shore,40.72443344,-73.25408295,Montauk Branch
27,BTA,Babylon,40.70068942,-73.32405561,Babylon Branch|Montauk Branch
29,BWD,Brentwood,40.78083474,-73.24361074,Ronkonkoma Branch
31,CAV,Centre Avenue,40.64831835,-73.6639675,Long Beach Branch
32,CHT,Cedarhurst,40.62217451,-73.72618275,Far Rockaway Branch
33,CI,Central Islip,40.79185312,-73.19486082,Ronkonkoma Branch
349,GCT,Grand Central,40.755162,-73.975455,Babylon Branch|City Terminal Zone|Far Rockaway Branch|Hempstead Branch|Long Beach Branch|Port Jefferson Branch|Port Washington Branch|Ronkonkoma Branch|West Hempstead Branch
359,EMT,Elmont-UBS Arena,40.720074,-73.725549,Hempstead Branch|Port Jefferson Branch|Ronkonkoma Branch
36,CLP,Country Life Press,40.72145656,-73.62967386,Hempstead Branch
38,CPG,Copiague,40.68101528,-73.39834027,Babylon Branch
39,CPL,Carle Place,40.74920704,-73.60365242,Port Jefferson Branch|Ronkonkoma Branch
4,AGT,Amagansett,40.98003964,-72.13233416,Montauk Branch
40,CSH,Cold Spring Harbor,40.83563832,-73.45108591,Port Jefferson Branch
42,DGL,Douglaston,40.76806862,-73.74941265,Port Washington Branch
44,DPK,Deer Park,40.76948364,-73.29356494,Ronkonkoma Branch
48,EHN,East Hampton,40.96508629,-72.19324238,Montauk Branch
50,ENY,East New York,40.67581191,-73.90280882,Babylon Branch|City Terminal Zone|Far Rockaway Branch|Hempstead Branch|Long Beach Branch|Port Jefferson Branch|West Hempstead Branch
51,ERY,East Rockaway,40.64221085,-73.65821626,Long Beach Branch
52,EWN,East Williston,40.7560191,-73.63940764,Oyster Bay Branch
55,FHL,Forest Hills,40.71957556,-73.84481402,Babylon Branch|City Terminal Zone|Far Rockaway Branch|Hempstead Branch|Long Beach Branch|Port Jefferson Branch|Ronkonkoma Branch|West Hempstead Branch
56,FLS,Flushing Main Street,40.75789494,-73.83134684,Port Washington Branch
59,FMD,Farmingdale,40.73591503,-73.44123878,Ronkonkoma Branch
63,FPK,Floral Park,40.72463725,-73.70639714,Hempstead Branch|Port Jefferson Branch|Ronkonkoma Branch
64,FPT,Freeport,40.65745799,-73.58232401,Babylon Branch
65,FRY,Far Rockaway,40.60914311,-73.75054135,Far Rockaway Branch
66,GBN,Gibson,40.64925173,-73.70183483,Far Rockaway Branch
67,GCV,Glen Cove,40.86583421,-73.61616614,Oyster Bay Branch
68,GCY,Garden City,40.72310156,-73.64036107,Hempstead Branch
71,GHD,Glen Head,40.83222531,-73.62611822,Oyster Bay Branch
72,GNK,Great Neck,40.78721647,-73.72610046,Port Washington Branch
73,GPT,Greenport,41.09970991,-72.36310396,Greenport Service
74,GRV,Great River,40.74044444,-73.17019585,Montauk Branch
76,GST,Glen Street,40.85798112,-73.62121715,Oyster Bay Branch
77,GVL,Greenvale,40.81571566,-73.62687152,Oyster Bay Branch
78,GWN,Greenlawn,40.86866524,-73.36284977,Port Jefferson Branch
8,AVL,Amityville,40.68024859,-73.42031192,Babylon Branch
83,HBY,Hampton Bays,40.87660916,-72.52394936,Montauk Branch
84,HEM,Hempstead,40.71329663,-73.62503239,Hempstead Branch
85,HGN,Hempstead Gardens,40.69491356,-73.64620888,West Hempstead Branch
86,HIL,Hillside Facility,40.70773582,-73.77695851,Hempstead Branch|Montauk Branch|Port Jefferson Branch|Ronkonkoma Branch
89,HOL,Hollis,40.71018151,-73.76675252,Hempstead Branch|Port Jefferson Branch|Ronkonkoma Branch
90,HPA,Hunterspoint Avenue,40.74239046,-73.94678997,Montauk Branch|Oyster Bay Branch|Port Jefferson Branch
91,HUN,Huntington,40.85300971,-73.40952576,Port Jefferson Branch
92,HVL,Hicksville,40.76717491,-73.52853322,Montauk Branch|Port Jefferson Branch|Ronkonkoma Branch
94,HWT,Hewlett,40.63676432,-73.70513866,Far Rockaway Branch
99,IPK,Island Park,40.60129906,-73.65474248,Long Beach Branch
