trip_id,branch,headsign
GO201_26_2,Montauk Branch,Montauk
GO201_26_2_1,Montauk Branch,Montauk
GO201_26_3,Montauk Branch,Jamaica
GO201_26_4,Montauk Branch,Montauk
GO201_26_5,Montauk Branch,Penn Station
GO201_26_7,Montauk Branch,Long Island City
GO201_26_8,Montauk Branch,Montauk
GO201_26_10,Montauk Branch,Montauk
GO201_26_11,Montauk Branch,Hunterspoint Avenue
GO201_26_12,Montauk Branch,Montauk
GO201_26_13,Montauk Branch,Jamaica
GO201_26_14,Montauk Branch,Montauk
GO201_26_16,Montauk Branch,Montauk
GO201_26_17,Montauk Branch,Jamaica
GO201_26_18,Montauk Branch,Montauk
GO201_26_18_1,Montauk Branch,Montauk
GO201_26_20,Montauk Branch,Montauk
GO201_26_20_1,Montauk Branch,Montauk
GO201_26_21,Montauk Branch,Jamaica
GO201_26_21_3,Montauk Branch,Jamaica
GO201_26_22,Montauk Branch,Montauk
GO201_26_26,Montauk Branch,Montauk
GO201_26_31,Montauk Branch,Babylon
GO201_26_32,Montauk Branch,Speonk
GO201_26_35,Montauk Branch,Long Island City
GO201_26_36,Montauk Branch,Speonk
GO201_26_37,Montauk Branch,Long Island City
GO201_26_38,Montauk Branch,Speonk
GO201_26_39,Montauk Branch,Penn Station
GO201_26_40,Montauk Branch,Speonk
GO201_26_41,Montauk Branch,Babylon
GO201_26_43,Montauk Branch,Babylon
GO201_26_44,Montauk Branch,Speonk
GO201_26_45,Montauk Branch,Jamaica
GO201_26_46,Montauk Branch,Speonk
GO201_26_47,Montauk Branch,Jamaica
GO201_26_48,Montauk Branch,Speonk
GO201_26_49,Montauk Branch,Jamaica
GO201_26_49_4,Montauk Branch,Jamaica
GO201_26_56,Montauk Branch,Patchogue
GO201_26_57,Montauk Branch,Babylon
GO201_26_58,Montauk Branch,Patchogue
GO201_26_59,Montauk Branch,Babylon
GO201_26_60,Montauk Branch,Patchogue
GO201_26_61,Montauk Branch,Babylon
GO201_26_62,Montauk Branch,Patchogue
GO201_26_63,Montauk Branch,Babylon
GO201_26_64,Montauk Branch,Patchogue
GO201_26_66,Montauk Branch,Patchogue
GO201_26_67,Montauk Branch,Babylon
