stop_id,stop_name,lat,lon,routes,toward
11083,GOTHAM PKWY AT VETERANS BLVD,40.82714,-74.06982,144|76|772,
11084,GOTHAM PKWY AT JONY DR,40.82819000000001,-74.0689,144|76|772,
11085,GOTHAM PKWY AT AMOR AVE,40.83116,-74.06602000000001,144|76|772,
11086,GOTHAM PKWY AT UNIVERSAL PL,40.83324,-74.06438,144|76|772,
11087,GOTHAM PKWY AT UNIVERSAL PL,40.83314,-74.06454000000001,144|703|76|772,
11088,GOTHAM PKWY AT AMOR AVE,40.8314,-74.06588,144|703|76|772,
11089,GOTHAM PKWY AT JONY DR,40.82842,-74.06883,144|703|76|772,
11090,GOTHAM PKWY AT VETERANS BLVD,40.82702,-74.07005000000001,144|703|76|772,
11091,HACKENSACK ST AT DIVISION AVE,40.83869000000001,-74.09077,76,Newark
11092,HACKENSACK ST AT BERRY AVE,40.8399,-74.08980000000001,76,Newark
11093,HACKENSACK ST AT SUMMIT AVE,40.84122,-74.08878,76,Newark
11094,HACKENSACK ST AT SUMMIT AVE,40.8411,-74.08898,76,Hackensack
11096,HACKENSACK ST AT DIVISION AVE,40.83876,-74.09087000000001,76,Hackensack
11097,MONROE ST AT BROAD ST,40.83921,-74.0955,163|164,Ridgewood
11098,MONROE ST AT DIVISION AVE,40.84065,-74.09403,163|164,Ridgewood
11099,MONROE ST AT SUMMIT AVE,40.84259,-74.09206,163|164,Ridgewood
11100,MONROE ST AT SUMMIT AVE,40.84276000000001,-74.09200000000001,163|164,New York
11101,MONROE ST AT DIVISION AVE,40.84082,-74.09398,163|164,New York
11102,MONROE ST AT BROAD ST,40.8394,-74.09541,163|164,New York
11103,MOONACHIE RD AT EASTERN WAY,40.83419000000001,-74.05543,772,
11105,PATERSON PLANK RD AT GOTHAM PARKWAY,40.82153,-74.06995,144|160|163|164|703|772,Ridgewood
11106,RT-120 65'N OF GOTHAM PKWY,40.82402,-74.07331,160|163|164|703,Ridgewood
11107,RT-120 1052' N OF GOTHAM PKWY.,40.82555000000001,-74.07551000000001,160|163|164|703,Ridgewood
11108,PATERSON PLANK RD AT MURRAY HILL PKWY,40.82962000000001,-74.08247,160|163|164|703,Ridgewood
11110,WASHINGTON AVE AT BARELL AVE,40.82475,-74.05835,161|703|772,
11111,WASHINGTON AVE 117'S OF KERO RD,40.82660000000001,-74.05630000000001,161|703|772,
11112,WASHINGTON AVE 200'N OF COMMERCE RD,40.83022,-74.05385000000001,161|703|772,
11113,WASHINGTON AVE AT EMPIRE BLVD,40.83338000000001,-74.05309000000001,161|772,
11114,MOONACHIE RD AT MOONACHIE AVE,40.83181,-74.05363000000001,161|772,
11115,WASHINGTON AVE AT COMMERCE RD,40.82925,-74.05451000000001,161|772,
11116,WASHINGTON AVE 198'S OF KERO RD,40.82656,-74.05667000000001,161|772,
11118,WASHINGTON AVE AT VETERANS BLVD,40.82271,-74.06075000000001,161|772,
11311,BERRY CREEK RD AT ENTRANCE STABLE GATES,40.82309,-74.07762000000001,160|703,
11312,BERRY CREEK RD 330' S OF ENTRANCE STABLE GATE,40.82112,-74.07782,160|703,
11313,HACKENSACK ST AT HOBOKEN RD,40.83543,-74.09283,76,Hackensack
11316,PATERSON AVE AT GRANT ST,40.84884,-74.11338,160|703,
11317,PATERSON AVE AT WALL ST,40.84754,-74.11213000000001,160|703,
11318,PATERSON AVE AT FRANKLIN PL,40.84604,-74.11033,160|703,
11319,PATERSON AVE 300'W OF FRANKLIN PL,40.84533,-74.10935,160|703,
11320,PATERSON AVE AT ATKINS TERRACE,40.84396,-74.10713000000001,160|703,
11321,PATERSON AVE AT MORRISSEE AVE,40.84281,-74.10513,160|703,
11322,PATERSON AVE AT POPLAR ST,40.8409,-74.10181,160|703,
11323,PATERSON AVE AT MOZART ST,40.83895,-74.10050000000001,160|163|164|703,New York
11324,PATERSON AVE AT UHLAND ST,40.83551000000001,-74.09864,160|163|164|703,New York
11325,PATERSON AVE AT GROVE ST,40.83426,-74.09795000000001,160|163|164|703,New York
11326,PATERSON AVE AT HACKENSACK ST,40.8325,-74.09551,160|163|164|703,New York
11327,PATERSON AVE AT VREELAND AVE,40.83275,-74.09309,160|163|164|703,New York
11328,PATERSON AVE AT JANE ST,40.83312,-74.09145000000001,160|163|164|703,Ridgewood
11329,PATERSON AVE AT HACKENSACK ST,40.8327,-74.09386,160|163|164|703,Ridgewood
11330,PATERSON AVE AT LINCOLN PL,40.83436,-74.09789,160|163|164,Ridgewood
11331,PATERSON AVE AT WASHINGTON PL,40.83545,-74.09849000000001,163|164|703,Ridgewood
11334,PATERSON PLANK RD AT MURRAY HILL PKWY,40.82994,-74.08353000000001,160|163|164|703,New York
11335,RT-120 1052' N OF GOTHAM PARKWAY,40.82534,-74.07559,160|163|164|703|76,New York
11336,RT-120 AT GOTHAM PARKWAY,40.82362000000001,-74.07317,160|163|164|703|76,New York
11337,PATERSON PLANK RD AT GOTHAM PARKWAY,40.82119,-74.06994,160|163|164|703|772,New York
11350,MURRAY HILL PKWY at RT-120,40.82941,-74.08277000000001,76,Newark
11352,HACKENSACK ST 340'S OF PATERSON AVE,40.83150000000001,-74.09583,76,Hackensack
11356,MURRAY HILL PKWY at RT-120,40.82909,-74.08338,76,Hackensack
11423,MOLA BLVD AT GARVEY PL,40.89452,-74.11344000000001,702,Paterson
11424,MOLA BLVD AT RUDOLPH AVE,40.89613000000001,-74.11416000000001,702,Paterson
11425,MOLA BLVD AT PALSA AVE,40.89752,-74.11478000000001,702,Paterson
11426,MOLA BLVD AT MARKET ST,40.89938,-74.1156,702,Paterson
11447,MOLA BLVD AT PALSA AVE,40.89764,-74.11496000000001,702,Elmwood Park
11448,MOLA BLVD AT RUDOLPH AVE,40.89629,-74.11437000000001,702,Elmwood Park
11449,MOLA BLVD AT US-46,40.89383,-74.11331000000001,702,Elmwood Park
11456,MARKET ST AT KOHNER PL,40.89893,-74.11193,712,
11457,MARKET ST AT AUGUSTA ST,40.89844,-74.10881,712,
11458,MARKET ST AT OBAL AVE,40.89805,-74.10656,712,
11459,MARKET ST AT MIDLAND AVE,40.89771,-74.10430000000001,712,
11460,MARKET ST AT MIDLAND AVE,40.89791,-74.10446,712,
11461,MARKET ST AT OBAL AVE,40.89810000000001,-74.10633,712,
11463,MARKET ST AT KOHNER PL,40.89902,-74.11189,712,
11464,MARKET ST AT MOLA BLVD,40.89975,-74.11634000000001,712,
11470,MIDLAND AVE AT RENA LANE,40.8943,-74.10411,160|758,
11471,MIDLAND AVE AT MARKET ST,40.89819000000001,-74.10389,160|758,
11472,MIDLAND AVE AT MARKET ST,40.89733,-74.10413000000001,160|758,
11473,MIDLAND AVE AT RENA LANE,40.89447000000001,-74.10423,160|758,
11474,RIVER DR AT BIRCHWOOD DR,40.89559000000001,-74.12618,151|161,
11475,RIVER DR AT SLATER DR,40.89859000000001,-74.12610000000001,151|161,
11476,RIVER DR AT SLATER DR,40.89833,-74.12624000000001,151|161,
11485,US-46 at BANK ST,40.89324000000001,-74.12352,151|161,
