stop_code,stop_name,lat,lon,lines
AM,Aberdeen-Matawan,40.420161,-74.223702,NJCL
AB,Absecon,39.424333,-74.502094,ACRL
AZ,Allendale,41.030902,-74.130957,BERG|MAIN
AH,Allenhurst,40.237659,-74.006769,NJCL
AS,Anderson Street,40.894458,-74.043781,PASC
AN,Annandale,40.645173,-74.878569,RARV
AP,Asbury Park,40.215359,-74.014786,NJCL
AO,Atco,39.783547,-74.907588,ACRL
AC,Atlantic City Terminal,39.363299,-74.441486,ACRL
AV,Avenel,40.57762,-74.27753,NJCL
BA,B.W.I. Airport,39.1945,-76.6887,
BL,Baltimore,39.3074,-76.6157,
BI,Basking Ridge,40.711378,-74.55527,MNEG
BH,Bay Head,40.077178,-74.046183,NJCL
MC,Bay Street (Montclair),40.808178,-74.208681,MNBTN
BS,Belmar,40.18059,-74.027301,NJCL
BY,Berkeley Heights,40.682345,-74.442649,MNEG
BV,Bernardsville,40.716845,-74.571023,MNEG
BM,Bloomfield,40.792709,-74.200043,MNBTN
BN,Boonton,40.903378,-74.407736,MNBTN
BK,Bound Brook,40.560929,-74.530617,RARV
BB,Bradley Beach,40.203751,-74.018891,NJCL
BU,Brick Church,40.765134,-74.218612,MNE|MNEG
BW,Bridgewater,40.559906,-74.551741,RARV
BF,Broadway,40.922505,-74.115236,BERG
CB,Campbell Hall,41.450917,-74.266554,BERG|MAIN
CM,Chatham,40.740137,-74.384812,MNE
CY,Cherry Hill,39.928447,-75.041661,ACRL
IF,Clifton,40.867998,-74.153203,MAIN
CN,Convent,40.779038,-74.443435,MNE
XC,Cranford,40.655523,-74.303226,RARV
DL,Delawanna,40.831369,-74.131262,MAIN
DV,Denville,40.8839,-74.481513,MNBTN|MNE
DO,Dover,40.883415,-74.555887,MNBTN|MNE
DN,Dunellen,40.590869,-74.463043,RARV
EO,East Orange,40.760977,-74.210464,MNE|MNEG
ED,Edison,40.519148,-74.410972,NEC
EH,Egg Harbor City,39.526441,-74.648028,ACRL
EL,Elberon,40.265292,-73.99762,NJCL
EZ,Elizabeth,40.667857,-74.215174,NEC|NJCL
EN,Emerson,40.975036,-74.027471,PASC
EX,Essex Street,40.878973,-74.051893,PASC
FW,Fanwood,40.64106,-74.385003,RARV
FH,Far Hills,40.685712,-74.633734,MNEG
GD,Garfield,40.866669,-74.10556,BERG
GW,Garwood,40.652569,-74.324794,RARV
GI,Gillette,40.678253,-74.468317,MNEG
GL,Gladstone,40.720284,-74.666371,MNEG
GG,Glen Ridge,40.80059,-74.204655,MNBTN
GK,Glen Rock (Boro Hall),40.96137,-74.1293,BERG
RS,Glen Rock (Main Line),40.962206,-74.133485,MAIN
HQ,Hackettstown,40.851444,-74.835352,MNBTN|MNE
