name,agency,code,routes
Astoria-Ditmars Blvd,mta,R01,N|W
Astoria Blvd,mta,R03,N|W
30 Av,mta,R04,N|W
Broadway,mta,R05,N|W
36 Av,mta,R06,N|W
39 Av-Dutch Kills,mta,R08,N|W
Lexington Av/59 St,mta,R11,N|R|W
5 Av/59 St,mta,R13,N|R|W
57 St-7 Av,mta,R14,N|Q|R|W
49 St,mta,R15,N|R|W
Times Sq-42 St,mta,R16,N|Q|R|W
34 St-Herald Sq,mta,R17,N|Q|R|W
28 St,mta,R18,R|W
23 St,mta,R19,R|W
14 St-Union Sq,mta,R20,N|Q|R|W
8 St-NYU,mta,R21,R|W
Prince St,mta,R22,R|W
Canal St,mta,R23,R|W
Canal St,mta,Q01,N|Q
City Hall,mta,R24,R|W
Cortlandt St,mta,R25,R|W
Rector St,mta,R26,R|W
Whitehall St-South Ferry,mta,R27,R|W
Court St,mta,R28,R
Jay St-MetroTech,mta,R29,R
DeKalb Av,mta,R30,B|Q|R
Atlantic Av-Barclays Ctr,mta,R31,D|N|R
Union St,mta,R32,R
4 Av-9 St,mta,R33,R
Prospect Av,mta,R34,R
25 St,mta,R35,R
36 St,mta,R36,D|N|R
45 St,mta,R39,R
53 St,mta,R40,R
59 St,mta,R41,N|R
Bay Ridge Av,mta,R42,R
77 St,mta,R43,R
86 St,mta,R44,R
Bay Ridge-95 St,mta,R45,R
Atlantic Av-Barclays Ctr,mta,D24,B|Q
7 Av,mta,D25,B|Q
Prospect Park,mta,D26,B|Q|S
Parkside Av,mta,D27,Q
Church Av,mta,D28,B|Q
Beverley Rd,mta,D29,Q
Cortelyou Rd,mta,D30,Q
Newkirk Plaza,mta,D31,B|Q
Avenue H,mta,D32,Q
Avenue J,mta,D33,Q
Avenue M,mta,D34,Q
Kings Hwy,mta,D35,B|Q
Avenue U,mta,D37,Q
Neck Rd,mta,D38,Q
Sheepshead Bay,mta,D39,B|Q
Brighton Beach,mta,D40,B|Q
Ocean Pkwy,mta,D41,Q
W 8 St-NY Aquarium,mta,D42,F|Q
Coney Island-Stillwell Av,mta,D43,D|F|N|Q
9 Av,mta,B12,D
Fort Hamilton Pkwy,mta,B13,D
50 St,mta,B14,D
55 St,mta,B15,D
62 St,mta,B16,D
71 St,mta,B17,D
79 St,mta,B18,D
18 Av,mta,B19,D
20 Av,mta,B20,D
Bay Pkwy,mta,B21,D
25 Av,mta,B22,D
Bay 50 St,mta,B23,D
8 Av,mta,N02,N
Fort Hamilton Pkwy,mta,N03,N
New Utrecht Av,mta,N04,N
18 Av,mta,N05,N
20 Av,mta,N06,N
Bay Pkwy,mta,N07,N
Kings Hwy,mta,N08,N
Avenue U,mta,N09,N
86 St,mta,N10,N
121 St,mta,J12,J|Z
111 St,mta,J13,J
104 St,mta,J14,J|Z
Woodhaven Blvd,mta,J15,J|Z
85 St-Forest Pkwy,mta,J16,J
75 St-Elderts Ln,mta,J17,J|Z
Cypress Hills,mta,J19,J
Crescent St,mta,J20,J|Z
Norwood Av,mta,J21,J|Z
Cleveland St,mta,J22,J
Van Siclen Av,mta,J23,J|Z
Alabama Av,mta,J24,J|Z
Broadway Junction,mta,J27,J|Z
Chauncey St,mta,J28,J|Z
Halsey St,mta,J29,J
Gates Av,mta,J30,J|Z
Kosciuszko St,mta,J31,J
Myrtle Av,mta,M11,J|Z|M
Flushing Av,mta,M12,J|M
Lorimer St,mta,M13,J|M
Hewes St,mta,M14,J|M
Marcy Av,mta,M16,J|Z|M
Delancey St-Essex St,mta,M18,J|Z|M
Bowery,mta,M19,J|Z
Canal St,mta,M20,J|Z
Chambers St,mta,M21,J|Z
Fulton St,mta,M22,J|Z
Broad St,mta,M23,J|Z
Middle Village-Metropolitan Av,mta,M01,M
Fresh Pond Rd,mta,M04,M
Forest Av,mta,M05,M
Seneca Av,mta,M06,M
Myrtle-Wyckoff Avs,mta,M08,M
Knickerbocker Av,mta,M09,M
Central Av,mta,M10,M
8 Av,mta,L01,L
6 Av,mta,L02,L
14 St-Union Sq,mta,L03,L
3 Av,mta,L05,L
1 Av,mta,L06,L
Bedford Av,mta,L08,L
Lorimer St,mta,L10,L
Graham Av,mta,L11,L
Grand St,mta,L12,L
Montrose Av,mta,L13,L
Morgan Av,mta,L14,L
Jefferson St,mta,L15,L
DeKalb Av,mta,L16,L
Myrtle-Wyckoff Avs,mta,L17,L
Halsey St,mta,L19,L
Wilson Av,mta,L20,L
Bushwick Av-Aberdeen St,mta,L21,L
Broadway Junction,mta,L22,L
Atlantic Av,mta,L24,L
Sutter Av,mta,L25,L
Livonia Av,mta,L26,L
New Lots Av,mta,L27,L
East 105 St,mta,L28,L
Canarsie-Rockaway Pkwy,mta,L29,L
Franklin Av,mta,S01,S
Park Pl,mta,S03,S
Botanic Garden,mta,S04,S
Inwood-207 St,mta,A02,A
Dyckman St,mta,A03,A
190 St,mta,A05,A
181 St,mta,A06,A
175 St,mta,A07,A
168 St,mta,A09,A|C
163 St-Amsterdam Av,mta,A10,C
155 St,mta,A11,C
145 St,mta,A12,A|C
145 St,mta,D13,B|D
135 St,mta,A14,B|C
125 St,mta,A15,A|C|B|D
116 St,mta,A16,B|C
Cathedral Pkwy (110 St),mta,A17,B|C
103 St,mta,A18,B|C
96 St,mta,A19,B|C
86 St,mta,A20,B|C
81 St-Museum of Natural History,mta,A21,B|C
72 St,mta,A22,B|C
59 St-Columbus Circle,mta,A24,A|C|B|D
